id;  Фамилия;  Имя;  Отчество
01;  Иванова;  Мария;  Ивановна
02;  Петров;  Николай;  Васильевич
03;  Конюхов;  Арсентий;  Фридрихович
04;  Александрова;  Нина;  Владимировна
05;  Ложечкин;  Григорий;  Петрович
06;  Гришакова;  Валентина;  Степановна
07;  Борькин;  Сергей;  Викторович
08;  Сергеев;  Борис;  Григорьевич
09;  Яровая;  Любовь;  Васильевна
10;  Григорьев;  Никита;  Дмитриевич
11;  Берёзкина;  Олеся;  Владимировна
12;  Лапкин;  Василий;  Сергеевич
13;  Брюлик;  Юлия;  Гавриловна
14;  Крокодил;  Геннадий;  Проклович
15;  Мастенко;  Данила;  Алексеевич
16;  Жарикова;  Лариса;  Денисовна
17;  Волков;  Пётр;  Ефимович
18;  Иноземцев;  Яков;  Александрович
19;  Шахназарова;  Елизавета;  Евгеньевна
20;  Ильичёва;  Мария;  Геннадьевна
21;  Окшанцев;  Дмитрий;  Аристархович
22;  Хлеборобов;  Фёдор;  Николаевич
23;  Короткая;  Нина;  Алексеевна
24;  Фартовая;  Анна;  Леонидовна
25;  Суворов;  Александр;  Васильевич
26;  Зайцева;  Зинаида;  Степановна
27;  Прекрасная;  Василиса;  Ивановна
28;  Таврический;  Дормидонт;  Захарович
29; Jackson; Heinz; Junior
